Price Delta,Volume Delta,adj close,empty_price_scaled,empty_volume_scaled,Choice
-4.10757898111026,-56.38673543976691,95.89242101888972,-1.5699048874097077,-1.6653590957845903,2.0
-4.10757898111026,-49.029189141164416,95.89242101888972,-1.5699048874097077,-1.4827688079575632,1.0
-4.10757898111026,-41.67164284256192,95.89242101888972,-1.5699048874097077,-1.3001785201305358,2.0
-4.10757898111026,-34.31409654395942,95.89242101888972,-1.5699048874097077,-1.1175882323035082,2.0
-4.10757898111026,-26.95655024535693,95.89242101888972,-1.5699048874097077,-0.9349979444764808,2.0
-4.10757898111026,-19.59900394675444,95.89242101888972,-1.5699048874097077,-0.7524076566494535,2.0
-4.10757898111026,-12.241457648151936,95.89242101888972,-1.5699048874097077,-0.5698173688224261,2.0
-4.10757898111026,-4.883911349549443,95.89242101888972,-1.5699048874097077,-0.3872270809953986,1.0
-4.10757898111026,2.47363494905305,95.89242101888972,-1.5699048874097077,-0.2046367931683713,2.0
-4.10757898111026,9.83118124765555,95.89242101888972,-1.5699048874097077,-0.0220465053413438,2.0
-4.10757898111026,17.188727546258036,95.89242101888972,-1.5699048874097077,0.1605437824856833,2.0
-4.10757898111026,24.546273844860536,95.89242101888972,-1.5699048874097077,0.3431340703127108,1.0
-4.10757898111026,31.90382014346304,95.89242101888972,-1.5699048874097077,0.5257243581397384,1.0
-4.10757898111026,39.26136644206552,95.89242101888972,-1.5699048874097077,0.7083146459667655,2.0
-4.10757898111026,46.61891274066802,95.89242101888972,-1.5699048874097077,0.8909049337937931,1.0
-4.10757898111026,61.33400533787301,95.89242101888972,-1.5699048874097077,1.2560855094478478,2.0
-4.10757898111026,68.69155163647551,95.89242101888972,-1.5699048874097077,1.4386757972748754,1.0
-4.10757898111026,76.04909793507801,95.89242101888972,-1.5699048874097077,1.6212660851019027,1.0
-3.809733480997667,-56.38673543976691,96.19026651900234,-1.385713358665307,-1.6653590957845903,1.0
-3.809733480997667,-49.029189141164416,96.19026651900234,-1.385713358665307,-1.4827688079575632,1.0
-3.809733480997667,-41.67164284256192,96.19026651900234,-1.385713358665307,-1.3001785201305358,2.0
-3.809733480997667,-34.31409654395942,96.19026651900234,-1.385713358665307,-1.1175882323035082,2.0
-3.809733480997667,-26.95655024535693,96.19026651900234,-1.385713358665307,-0.9349979444764808,2.0
-3.809733480997667,-19.59900394675444,96.19026651900234,-1.385713358665307,-0.7524076566494535,2.0
-3.809733480997667,-12.241457648151936,96.19026651900234,-1.385713358665307,-0.5698173688224261,2.0
-3.809733480997667,-4.883911349549443,96.19026651900234,-1.385713358665307,-0.3872270809953986,2.0
-3.809733480997667,2.47363494905305,96.19026651900234,-1.385713358665307,-0.2046367931683713,1.0
-3.809733480997667,17.188727546258036,96.19026651900234,-1.385713358665307,0.1605437824856833,2.0
-3.809733480997667,24.546273844860536,96.19026651900234,-1.385713358665307,0.3431340703127108,2.0
-3.809733480997667,31.90382014346304,96.19026651900234,-1.385713358665307,0.5257243581397384,2.0
-3.809733480997667,39.26136644206552,96.19026651900234,-1.385713358665307,0.7083146459667655,2.0
-3.809733480997667,46.61891274066802,96.19026651900234,-1.385713358665307,0.8909049337937931,2.0
-3.809733480997667,53.97645903927051,96.19026651900234,-1.385713358665307,1.0734952216208202,2.0
-3.809733480997667,61.33400533787301,96.19026651900234,-1.385713358665307,1.2560855094478478,2.0
-3.809733480997667,68.69155163647551,96.19026651900234,-1.385713358665307,1.4386757972748754,2.0
-3.809733480997667,76.04909793507801,96.19026651900234,-1.385713358665307,1.6212660851019027,2.0
-3.5118879808850743,-56.38673543976691,96.48811201911492,-1.2015218299209065,-1.6653590957845903,2.0
-3.5118879808850743,-49.029189141164416,96.48811201911492,-1.2015218299209065,-1.4827688079575632,1.0
-3.5118879808850743,-41.67164284256192,96.48811201911492,-1.2015218299209065,-1.3001785201305358,2.0
-3.5118879808850743,-34.31409654395942,96.48811201911492,-1.2015218299209065,-1.1175882323035082,2.0
-3.5118879808850743,-26.95655024535693,96.48811201911492,-1.2015218299209065,-0.9349979444764808,1.0
-3.5118879808850743,-19.59900394675444,96.48811201911492,-1.2015218299209065,-0.7524076566494535,2.0
-3.5118879808850743,-12.241457648151936,96.48811201911492,-1.2015218299209065,-0.5698173688224261,2.0
-3.5118879808850743,-4.883911349549443,96.48811201911492,-1.2015218299209065,-0.3872270809953986,2.0
-3.5118879808850743,2.47363494905305,96.48811201911492,-1.2015218299209065,-0.2046367931683713,2.0
-3.5118879808850743,9.83118124765555,96.48811201911492,-1.2015218299209065,-0.0220465053413438,2.0
-3.5118879808850743,17.188727546258036,96.48811201911492,-1.2015218299209065,0.1605437824856833,2.0
-3.5118879808850743,24.546273844860536,96.48811201911492,-1.2015218299209065,0.3431340703127108,2.0
-3.5118879808850743,31.90382014346304,96.48811201911492,-1.2015218299209065,0.5257243581397384,2.0
-3.5118879808850743,39.26136644206552,96.48811201911492,-1.2015218299209065,0.7083146459667655,2.0
-3.5118879808850743,46.61891274066802,96.48811201911492,-1.2015218299209065,0.8909049337937931,2.0
-3.5118879808850743,53.97645903927051,96.48811201911492,-1.2015218299209065,1.0734952216208202,2.0
-3.5118879808850743,61.33400533787301,96.48811201911492,-1.2015218299209065,1.2560855094478478,1.0
-3.5118879808850743,68.69155163647551,96.48811201911492,-1.2015218299209065,1.4386757972748754,2.0
-3.5118879808850743,76.04909793507801,96.48811201911492,-1.2015218299209065,1.6212660851019027,1.0
-3.214042480772481,-56.38673543976691,96.78595751922752,-1.0173303011765056,-1.6653590957845903,2.0
