date,hold,buy,sell,choice,daily profit,total profit
2019-03-20,-1.0,-1.0,-1.0,1,0.0,0.0
2019-03-21,21.511594772338867,21.699329376220703,22.831405639648438,2,1.2299532277760399,0.0
2019-03-22,20.5479793548584,20.660846710205078,21.809799194335938,2,0.34000258381244386,0.0
2019-03-23,-1.0,-1.0,-1.0,1,0.0,0.0
2019-03-24,18.264577865600586,18.2371883392334,19.422544479370117,2,-1.9699700982013415,0.0
2019-03-25,-1.0,-1.0,-1.0,2,-0.5299759876335993,0.0
2019-03-26,-1.0,-1.0,-1.0,2,2.539953383671521,0.0
2019-03-27,-1.0,-1.0,-1.0,1,0.0,0.0
2019-03-28,-1.0,-1.0,-1.0,0,-4.360020695551943,0.0
2019-03-29,-1.0,-1.0,-1.0,2,-0.5200373236622337,0.0
2019-03-30,-1.0,-1.0,-1.0,2,-0.8099986356805655,0.0
2019-03-31,-1.0,-1.0,-1.0,2,1.230032515699762,0.0
2019-04-01,-1.0,-1.0,-1.0,0,-6.490005597835715,0.0
2019-04-02,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-03,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-04,-1.0,-1.0,-1.0,2,2.399973905864761,0.0
2019-04-05,35.95263671875,34.176025390625,36.65501022338867,2,-1.6000091013815734,0.0
2019-04-06,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-07,-1.0,-1.0,-1.0,0,2.2099688812199694,0.0
2019-04-08,-1.0,-1.0,-1.0,0,-0.7199811871044728,0.0
2019-04-09,34.081295013427734,32.077667236328125,33.59127426147461,0,-3.070008789641401,0.0
2019-04-10,38.24289321899414,36.19325637817383,37.71726608276367,0,0.45003964412322855,0.0
2019-04-11,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-12,-1.0,-1.0,-1.0,0,-1.769994585026468,0.0
2019-04-13,35.43666076660156,34.235294342041016,35.31309127807617,0,0.7099950716096298,0.0
2019-04-14,-1.0,-1.0,-1.0,2,-3.429999547041169,0.0
2019-04-15,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-16,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-17,-1.0,-1.0,-1.0,2,2.179994714255382,0.0
2019-04-18,31.018367767333984,30.910663604736328,31.836336135864258,2,1.689963148447961,0.0
2019-04-19,30.789430618286133,30.779592514038086,31.744020462036133,2,2.6100308492876807,0.0
2019-04-20,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-21,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-22,-1.0,-1.0,-1.0,2,-0.4999702476110634,0.0
2019-04-23,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-24,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-25,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-26,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-27,-1.0,-1.0,-1.0,1,0.0,0.0
2019-04-28,35.539798736572266,35.903076171875,37.8037109375,2,2.5100432059244033,0.0
2019-04-29,33.710723876953125,34.1622200012207,35.88778305053711,2,-0.3200303111125043,0.0
2019-04-30,34.422393798828125,34.96365737915039,36.772605895996094,2,-0.34997284637211395,0.0
2019-05-01,33.798336029052734,34.4088249206543,36.248390197753906,2,-2.6800124095389544,0.0
2019-05-02,-1.0,-1.0,-1.0,1,0.0,0.0
2019-05-03,-1.0,-1.0,-1.0,0,0.9409099585086219,0.0
2019-05-04,44.09797668457031,45.75242614746094,48.537635803222656,2,1.4799709883312673,0.0
2019-05-05,47.91417694091797,49.747379302978516,52.71937561035156,2,2.290001784825337,0.0
2019-05-06,-1.0,-1.0,-1.0,2,0.7900043479683224,0.0
2019-05-07,55.00214767456055,57.063968658447266,60.279014587402344,2,0.0,0.0
2019-05-08,-1.0,-1.0,-1.0,1,0.0,0.0
2019-05-09,-1.0,-1.0,-1.0,2,-1.3700148461991248,0.0
2019-05-10,59.56661605834961,60.415061950683594,63.65058517456055,2,0.0,0.0
2019-05-11,-1.0,-1.0,-1.0,2,0.0,0.0
2019-05-12,60.2681999206543,60.711692810058594,63.83602523803711,2,0.0,0.0
2019-05-13,-1.0,-1.0,-1.0,0,1.3499884479551145,0.0
2019-05-14,-1.0,-1.0,-1.0,1,0.0,0.0
2019-05-15,-1.0,-1.0,-1.0,2,-0.9000236725682149,0.0
2019-05-16,-1.0,-1.0,-1.0,2,0.0,0.0
2019-05-17,54.593509674072266,53.78727722167969,56.561893463134766,2,0.0,0.0
2019-05-18,-1.0,-1.0,-1.0,1,0.0,0.0
2019-05-19,-1.0,-1.0,-1.0,0,0.6599901545228093,0.0
2019-05-20,-1.0,-1.0,-1.0,1,0.0,0.0
2019-05-21,47.73017120361328,46.632843017578125,48.526756286621094,2,1.2700403229107062,0.0
2019-05-22,-1.0,-1.0,-1.0,0,-1.3500199512514355,0.0
2019-05-23,43.67594528198242,42.52515411376953,44.17329406738281,2,1.9700203497904383,0.0
2019-05-24,-1.0,-1.0,-1.0,2,0.0,0.0
2019-05-25,-1.0,-1.0,-1.0,0,-0.6700347683374074,0.0
2019-05-26,38.790225982666016,37.86376953125,39.36693572998047,2,0.0,0.0
